year,position,value,category
2022,Software Developers,231903,Tech
2022,Computer Systems Analysts,33466,Tech
2022,Computer Systems Engineers/Architects,22050,Tech
2022,Information Technology Project Managers,15420,Tech
2022,Computer And Information Systems Managers,14838,Tech
2022,Business Intelligence Analysts,13337,Tech
2022,Software Quality Assurance Engineers And Testers,12230,Tech
2022,Operations Research Analysts,11166,Business
2022,Mechanical Engineers,10819,Engineering
2022,Computer Programmers,9232,Tech
2022,Electronics Engineers,9220,Engineering
2022,Statisticians,8904,Math
2022,Computer Occupations,8240,Tech
2022,Database Administrators,7959,Tech
2022,Electrical Engineers,7776,Engineering
2022,Accountants And Auditors,7311,Accounting
2022,Financial Analysts,7028,Business
2022,Management Analysts,6714,Business
2022,Industrial Engineers,5574,Engineering
2022,Computer And Information Research Scientists,5093,Tech
2022,Medical Scientists,4921,Healthcare
2022,Information Security Analysts,4816,Tech
2022,Network And Computer Systems Administrators,4578,Tech
2022,Civil Engineers,4458,Engineering
2022,Market Research Analysts And Marketing Specialists,4079,Marketing
2022,Physicians And Surgeons,3785,Healthcare
2022,Biochemists And Biophysicists,3451,Science
2022,Database Architects,2932,Tech
2022,Financial Quantitative Analysts,2795,Finance
2022,Software Quality Assurance Analysts And Testers,2775,Tech
2022,Sales Engineers,2466,Tech
2022,Computer Network Architects,2373,Tech
2022,Data Warehousing Specialists,2294,Tech
2022,Medical And Clinical Laboratory Technologists,2267,Healthcare
2022,Chemists,2189,Science
2022,Architectural And Engineering Managers,2064,Tech
2022,Marketing Managers,2020,Marketing
2022,Health Specialties Teachers,2015,Healthcare
2022,Validation Engineers,1974,Tech
2022,Graphic Designers,1897,Tech
2022,Molecular And Cellular Biologists,1852,Science
2022,Materials Engineers,1798,Engineering
2022,Lawyers,1722,Law
2022,Physical Therapists,1650,Healthcare
2022,Elementary School Teachers,1605,Education
2022,Bioinformatics Scientists,1599,Science
2022,Architects,1514,Architecture
2022,Web Developers,1468,Tech
2022,Computer Hardware Engineers,1462,Tech
2022,Secondary School Teachers,1462,Education
2022,Financial Managers,1381,Finance
2022,Business Teachers,1374,Education
2022,Biological Scientists,1348,Science
2022,Accountants,1340,Accounting
2022,Logisticians,1321,Logistics
2022,Risk Management Specialists,1250,Finance
2022,Data Scientists,1229,Tech
2022,Hospitalists,1228,Healthcare
2022,Engineering Teachers,1206,Education
2022,Chemical Engineers,1167,Science
2022,Computer Science Teachers,1112,Education
2022,Economists,1111,Finance
2022,Biomedical Engineers,1106,Science
2022,Manufacturing Engineers,1088,Engineering
2022,Physicists,1058,Healthcare
2022,Dentists,1044,Healthcare
2022,Commercial And Industrial Designers,1002,Industrial
2022,Construction Managers,953,Construction
2022,Biostatisticians,942,Science
2022,Human Resources Specialists,929,Business
2022,Financial And Investment Analysts,902,Finance
2022,Regulatory Affairs Specialists,891,Business
2022,Internists,887,Healthcare
2022,General And Operations Managers,844,Business
2022,Biological Technicians,817,Science
2022,Mathematical Science Teachers,808,Education
2022,Rehabilitation Counselors,735,Healthcare
2022,Materials Scientists,706,Science
2022,Clinical Data Managers,667,Tech
2022,Supply Chain Managers,639,Business
2022,Automotive Engineers,623,Engineering
2022,Cost Estimators,603,Accounting
2022,Middle School Teachers,576,Education
2022,Actuaries,563,Math
2022,Foreign Language And Literature Teachers,560,Education
2022,Medical And Health Services Managers,541,Healthcare
2022,Natural Sciences Managers,526,Science
2022,Industrial Production Managers,526,Industrial
2022,Logistics Analysts,524,Logistics